"No.","Equation"
"A2.1","$\theta_s = \{ \log F_{s,0}, \log B_{s,0}, q_g, \tau_g, \vec\omega_{s,t} \}$."
"A2.2","$B_{s,1}        = B^{(f = F_{s,0})}_s$"
"A2.3","$N_{s,1}        = N^{(f = F_{s,0})}_s$"
"A2.4","$R_{s,1}        = R^{(f = F_{s,0})}_s$"
"A2.5","$B_{s,a,t}  = p_{s,a} \cdot B_{s,t}$"
"A2.6","$B_{a,t}    = \sum_s B_{s,a,t}$"
"A2.7","$C_{s,t}    = \sum_a \frac{B_{s,a,t}}{B_{a,t}} C_{a,t}$"
"A2.8","$R_{s,t} = \left\{ \begin{array}{lc} R_{s,1} e^{\omega_{s,t-k} - \sigma^2/2} & t \leq k \\ \frac{aB_{s,t-k}}{1 + bB_{s,t-k}}e^{\omega_{s,t-k} - \sigma^2/2} & t > k  \\ \end{array} \right.$"
"A2.9","$Z_{s,t-1} = M_s + F_{s,t-1}$"
"A2.10","$N_{s,t} =  e^{-Z_{s,t-1}} N_{s,t-1} + R_{s,t}$"
"A2.11","$B_{s,t} = e^{-Z_{s,t-1}} ( \alpha N_{s,t-1} + \rho B_{s,t-1}) + w_s^{(k)}R_{s,t}$"
"A2.12","$\hat{I}_{g,t} = q_g \cdot B_{s,t}$"
"A2.13","$\hat{I}_{g,t} = q_g \cdot B_{a,t}$"
"A2.14","$\log I_{g,t} \sim N(\log \hat{I}_{g,t}, \tau_g)$"
"A2.15","$\omega_{s,t} \sim N(0, \sigma)$"